timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,582,{},2022-12-09 18:35:15.587000+06:00
1.67059E+12,424,{},2022-12-09 18:35:14.750000+06:00
1.67059E+12,382,{},2022-12-09 18:35:13.880000+06:00
1.67059E+12,517,{},2022-12-09 18:35:12.123000+06:00
1.67059E+12,499,{},2022-12-09 18:35:11.047000+06:00
1.67059E+12,1024,{},2022-12-09 18:35:10.093000+06:00
1.67059E+12,512,{},2022-12-09 18:35:09.094000+06:00
1.67059E+12,532,{},2022-12-09 18:35:08.008000+06:00
1.67059E+12,500,{},2022-12-09 18:35:07.900000+06:00
1.67059E+12,509,{},2022-12-09 18:35:06.421000+06:00
1.67059E+12,483,{},2022-12-09 18:35:05.100000+06:00
1.67059E+12,602,{},2022-12-09 18:35:04.009000+06:00
1.67059E+12,518,{},2022-12-09 18:35:03.615000+06:00
1.67059E+12,504,{},2022-12-09 18:35:02.640000+06:00
1.67059E+12,464,{},2022-12-09 18:35:01.413000+06:00
1.67059E+12,526,{},2022-12-09 18:35:00.175000+06:00
1.67059E+12,566,{},2022-12-09 18:34:59.044000+06:00
1.67059E+12,538,{},2022-12-09 18:34:58.007000+06:00
1.67059E+12,564,{},2022-12-09 18:34:57.003000+06:00
1.67059E+12,642,{},2022-12-09 18:34:56.030000+06:00
1.67059E+12,378,{},2022-12-09 18:34:55.002000+06:00
1.67059E+12,721,{},2022-12-09 18:34:54.411000+06:00
1.67059E+12,450,{},2022-12-09 18:34:53.004000+06:00
1.67059E+12,508,{},2022-12-09 18:34:52.002000+06:00
1.67059E+12,553,{},2022-12-09 18:34:51.004000+06:00
1.67059E+12,486,{},2022-12-09 18:34:50.003000+06:00
1.67059E+12,560,{},2022-12-09 18:34:49.003000+06:00
1.67059E+12,624,{},2022-12-09 18:34:48.725000+06:00
1.67059E+12,526,{},2022-12-09 18:34:47.618000+06:00
1.67059E+12,523,{},2022-12-09 18:34:46.744000+06:00
1.67059E+12,489,{},2022-12-09 18:34:45.730000+06:00
1.67059E+12,504,{},2022-12-09 18:34:44.804000+06:00
1.67059E+12,468,{},2022-12-09 18:34:43.805000+06:00
1.67059E+12,555,{},2022-12-09 18:34:42.077000+06:00
1.67059E+12,744,{},2022-12-09 18:34:41.205000+06:00
1.67059E+12,808,{},2022-12-09 18:34:40.352000+06:00
1.67059E+12,532,{},2022-12-09 18:34:39.491000+06:00
1.67059E+12,511,{},2022-12-09 18:34:38.517000+06:00
1.67059E+12,487,{},2022-12-09 18:34:37.585000+06:00
1.67059E+12,468,{},2022-12-09 18:34:36.393000+06:00
1.67059E+12,460,{},2022-12-09 18:34:35.425000+06:00
1.67059E+12,668,{},2022-12-09 18:34:34.598000+06:00
1.67059E+12,807,{},2022-12-09 18:34:33.748000+06:00
1.67059E+12,507,{},2022-12-09 18:34:32.302000+06:00
1.67059E+12,474,{},2022-12-09 18:34:31.210000+06:00
1.67059E+12,533,{},2022-12-09 18:34:29.964000+06:00
1.67059E+12,525,{},2022-12-09 18:34:28.007000+06:00
1.67059E+12,581,{},2022-12-09 18:34:27.011000+06:00
1.67059E+12,534,{},2022-12-09 18:34:26.122000+06:00
1.67059E+12,836,{},2022-12-09 18:34:25.292000+06:00
1.67059E+12,454,{},2022-12-09 18:34:24.003000+06:00
1.67059E+12,375,{},2022-12-09 18:34:23.186000+06:00
1.67059E+12,490,{},2022-12-09 18:34:22.005000+06:00
1.67059E+12,761,{},2022-12-09 18:34:21.003000+06:00
1.67059E+12,517,{},2022-12-09 18:34:20.005000+06:00
1.67059E+12,512,{},2022-12-09 18:34:19.011000+06:00
1.67059E+12,535,{},2022-12-09 18:34:18.002000+06:00
1.67059E+12,501,{},2022-12-09 18:34:17.014000+06:00
1.67059E+12,560,{},2022-12-09 18:34:16.001000+06:00
1.67059E+12,514,{},2022-12-09 18:34:15.028000+06:00
1.67059E+12,589,{},2022-12-09 18:34:14.014000+06:00
1.67059E+12,562,{},2022-12-09 18:34:13.506000+06:00
1.67059E+12,549,{},2022-12-09 18:34:12.625000+06:00
1.67059E+12,544,{},2022-12-09 18:34:11.681000+06:00
1.67059E+12,495,{},2022-12-09 18:34:10.810000+06:00
1.67059E+12,516,{},2022-12-09 18:34:08.305000+06:00
1.67059E+12,530,{},2022-12-09 18:34:07.317000+06:00
1.67059E+12,493,{},2022-12-09 18:34:06.495000+06:00
1.67059E+12,542,{},2022-12-09 18:34:05.421000+06:00
1.67059E+12,492,{},2022-12-09 18:34:04.209000+06:00
1.67059E+12,510,{},2022-12-09 18:34:03.232000+06:00
1.67059E+12,507,{},2022-12-09 18:34:02.353000+06:00
1.67059E+12,481,{},2022-12-09 18:34:01.318000+06:00
1.67059E+12,476,{},2022-12-09 18:34:00.005000+06:00
1.67059E+12,506,{},2022-12-09 18:33:59.008000+06:00
1.67059E+12,490,{},2022-12-09 18:33:58.024000+06:00
1.67059E+12,521,{},2022-12-09 18:33:57.231000+06:00
1.67059E+12,500,{},2022-12-09 18:33:56.226000+06:00
1.67059E+12,538,{},2022-12-09 18:33:55.008000+06:00
1.67059E+12,688,{},2022-12-09 18:33:54.158000+06:00
1.67059E+12,482,{},2022-12-09 18:33:53.272000+06:00
1.67059E+12,506,{},2022-12-09 18:33:52.380000+06:00
1.67059E+12,462,{},2022-12-09 18:33:51.032000+06:00
1.67059E+12,559,{},2022-12-09 18:33:50.004000+06:00
1.67059E+12,608,{},2022-12-09 18:33:49.001000+06:00
1.67059E+12,526,{},2022-12-09 18:33:48.347000+06:00
1.67059E+12,536,{},2022-12-09 18:33:47.320000+06:00
1.67059E+12,519,{},2022-12-09 18:33:46.219000+06:00
1.67059E+12,393,{},2022-12-09 18:33:45.095000+06:00
1.67059E+12,604,{},2022-12-09 18:33:44.106000+06:00
1.67059E+12,538,{},2022-12-09 18:33:43.009000+06:00
1.67059E+12,501,{},2022-12-09 18:33:42.018000+06:00
1.67059E+12,518,{},2022-12-09 18:33:41.781000+06:00
1.67059E+12,451,{},2022-12-09 18:33:40.820000+06:00
1.67059E+12,586,{},2022-12-09 18:33:39.522000+06:00
1.67059E+12,512,{},2022-12-09 18:33:38.617000+06:00
1.67059E+12,570,{},2022-12-09 18:33:37.388000+06:00
1.67059E+12,487,{},2022-12-09 18:33:36.531000+06:00
1.67059E+12,504,{},2022-12-09 18:33:35.469000+06:00
1.67059E+12,278,{},2022-12-09 18:33:34.584000+06:00
1.67059E+12,843,{},2022-12-09 18:33:33.660000+06:00
1.67059E+12,475,{},2022-12-09 18:33:32.800000+06:00
1.67059E+12,406,{},2022-12-09 18:33:31.781000+06:00
1.67059E+12,522,{},2022-12-09 18:33:30.852000+06:00
1.67059E+12,470,{},2022-12-09 18:33:29.010000+06:00
1.67059E+12,580,{},2022-12-09 18:33:28.041000+06:00
1.67059E+12,519,{},2022-12-09 18:33:27.170000+06:00
1.67059E+12,951,{},2022-12-09 18:33:26.099000+06:00
1.67059E+12,553,{},2022-12-09 18:33:25.202000+06:00
1.67059E+12,516,{},2022-12-09 18:33:24.294000+06:00
1.67059E+12,502,{},2022-12-09 18:33:23.277000+06:00
1.67059E+12,505,{},2022-12-09 18:33:22.423000+06:00
1.67059E+12,481,{},2022-12-09 18:33:21.518000+06:00
1.67059E+12,542,{},2022-12-09 18:33:20.597000+06:00
1.67059E+12,552,{},2022-12-09 18:33:19.701000+06:00
1.67059E+12,756,{},2022-12-09 18:33:18.776000+06:00
1.67059E+12,499,{},2022-12-09 18:33:17.812000+06:00
1.67059E+12,416,{},2022-12-09 18:33:16.035000+06:00
1.67059E+12,476,{},2022-12-09 18:33:15.813000+06:00
1.67059E+12,505,{},2022-12-09 18:33:12.832000+06:00
1.67059E+12,544,{},2022-12-09 18:33:09.071000+06:00
1.67059E+12,496,{},2022-12-09 18:33:08.222000+06:00
1.67059E+12,517,{},2022-12-09 18:33:07.195000+06:00
1.67059E+12,577,{},2022-12-09 18:33:06.086000+06:00
1.67059E+12,516,{},2022-12-09 18:33:05.189000+06:00
1.67059E+12,548,{},2022-12-09 18:33:04.027000+06:00
1.67059E+12,526,{},2022-12-09 18:33:03.908000+06:00
1.67059E+12,544,{},2022-12-09 18:33:02.909000+06:00
1.67059E+12,517,{},2022-12-09 18:33:01.862000+06:00
1.67059E+12,543,{},2022-12-09 18:33:00.092000+06:00
1.67059E+12,525,{},2022-12-09 18:32:59.114000+06:00
1.67059E+12,533,{},2022-12-09 18:32:58.092000+06:00
1.67059E+12,556,{},2022-12-09 18:32:57.198000+06:00
1.67059E+12,597,{},2022-12-09 18:32:56.158000+06:00
1.67059E+12,535,{},2022-12-09 18:32:55.279000+06:00
1.67059E+12,544,{},2022-12-09 18:32:54.309000+06:00
1.67059E+12,512,{},2022-12-09 18:32:53.432000+06:00
1.67059E+12,517,{},2022-12-09 18:32:52.308000+06:00
1.67059E+12,513,{},2022-12-09 18:32:51.389000+06:00
1.67059E+12,533,{},2022-12-09 18:32:50.292000+06:00
1.67059E+12,593,{},2022-12-09 18:32:49.416000+06:00
1.67059E+12,607,{},2022-12-09 18:32:48.487000+06:00
1.67059E+12,799,{},2022-12-09 18:32:47.589000+06:00
1.67059E+12,533,{},2022-12-09 18:32:46.571000+06:00
1.67059E+12,535,{},2022-12-09 18:32:45.711000+06:00
1.67059E+12,481,{},2022-12-09 18:32:44.721000+06:00
1.67059E+12,521,{},2022-12-09 18:32:43.580000+06:00
1.67059E+12,540,{},2022-12-09 18:32:42.704000+06:00
1.67059E+12,469,{},2022-12-09 18:32:41.300000+06:00
1.67059E+12,350,{},2022-12-09 18:32:36.001000+06:00
1.67059E+12,506,{},2022-12-09 18:32:35.114000+06:00
1.67059E+12,528,{},2022-12-09 18:32:34.112000+06:00
1.67059E+12,528,{},2022-12-09 18:32:32.878000+06:00
1.67059E+12,569,{},2022-12-09 18:32:31.718000+06:00
1.67059E+12,924,{},2022-12-09 18:32:30.878000+06:00
1.67059E+12,528,{},2022-12-09 18:32:29.835000+06:00
1.67059E+12,517,{},2022-12-09 18:32:28.004000+06:00
1.67059E+12,554,{},2022-12-09 18:32:27.837000+06:00
1.67059E+12,531,{},2022-12-09 18:32:26.920000+06:00
